index,name,nullable,type,Variable Name,Type,Description
84,disdeclaredt,TRUE,DATE,DisDeclareDt,date,Declaration Date (DisDeclareDt)
85,disrecorddt,TRUE,DATE,DisRecordDt,date,Record Date (DisRecordDt)
86,dispaydt,TRUE,DATE,DisPayDt,date,Payment Date (DisPayDt)
87,dispermno,TRUE,DOUBLE_PRECISION,DisPERMNO,double,PERMNO of the Security Received (DisPERMNO)
88,dispermco,TRUE,DOUBLE_PRECISION,DisPERMCO,double,PERMCO of the Issuer Providing Payment (DisPERMCO)
89,vwretd,TRUE,DOUBLE_PRECISION,vwretd,double,Value-weighted return including dividends (vwretd)
90,vwretx,TRUE,DOUBLE_PRECISION,vwretx,double,Value-weighted return excluding dividends (vwretx)
91,ewretd,TRUE,DOUBLE_PRECISION,ewretd,double,Equal-weighted return including dividends (ewretd)
92,ewretx,TRUE,DOUBLE_PRECISION,ewretx,double,Equal-weighted return excluding dividends (ewretx)
93,sprtrn,TRUE,DOUBLE_PRECISION,sprtrn,double,Return on the S&P 500 Index (sprtrn)
